,19,30,acid,action,active,activity,acute,add,adherence,administration,adolescent,adolescents,adult,adults,advanced,adverse,african,ajcc,alcoholic,american,americans,analysis,anatomic,anti,antidiabetic,apnea,application,approach,arterial,artery,assess,assessment,associated,atherosclerosis,autoimmune,balance,bariatric,basal,based,behavior,behavioral,beta,biomarkers,blood,body,bone,breast,brieftitle,bypass,cancer,cardiac,cardiovascular,care,cell,cells,change,changes,childhood,children,chinese,chronic,clinical,coaching,cognitive,cohort,combination,combined,community,comparative,compared,comparing,comparison,complication,complications,condition,continuous,control,controlled,coronary,covid,cystic,daily,dapagliflozin,decision,deficiency,delivery,dependent,depression,detection,development,device,diabetes,diabetic,diabetics,diagnosed,diagnosis,diagnostic,diet,dietary,different,digital,disease,diseases,disorder,disorders,distress,dm,dose,doses,dpp,drug,drugs,dysfunction,dyslipidemia,early,eating,edema,education,effect,effectiveness,effects,efficacy,elderly,empagliflozin,endothelial,evaluate,evaluating,evaluation,events,exenatide,exercise,extension,eye,factor,factors,failure,family,fasting,fat,fatty,feasibility,fibrosis,follow,following,food,foot,function,gain,gastric,gdm,genetic,gestational,glargine,glucagon,glucose,glycaemic,glycemic,group,gut,hba1c,health,healthy,heart,hepatitis,high,history,hiv,home,human,hypercholesterolemia,hyperglycemia,hyperlipidemia,hypertension,hypoglycemia,ii,impact,impaired,impairment,improve,improvement,improving,individuals,induced,infarction,infection,inflammation,inflammatory,influence,injury,insulin,integrated,intensive,internet,intervention,interventions,intolerance,ischemic,islet,japanese,kidney,latino,led,level,levels,life,lifestyle,lipid,liraglutide,liver,living,long,loss,low,lower,lowering,macular,management,markers,meal,mechanisms,medical,medication,medications,medicine,mellitus,men,mental,metabolic,metabolism,metformin,mild,mobile,model,modification,monitoring,monotherapy,mortality,multiple,muscle,myocardial,nafld,naive,nash,nephropathies,nephropathy,neuropathy,new,newly,non,nonalcoholic,novel,nutrition,nutritional,obese,obesity,observational,obstructive,older,onset,oral,outcome,outcomes,overweight,pancreatic,parameters,participants,patient,patients,pediatric,peer,people,performance,periodontal,periodontitis,peripheral,pharmacist,phase,physical,pilot,pioglitazone,placebo,plus,population,post,postpartum,postprandial,practice,pre,prediabetes,prediabetic,pregnancy,pregnant,pressure,prevalence,prevent,preventing,prevention,primary,prognostic,program,programme,progression,project,promote,prospective,prostate,protein,pulmonary,quality,randomized,rank,rate,real,reduce,reducing,reduction,regulation,related,remission,renal,research,resistance,response,retinal,retinopathy,risk,role,rosiglitazone,safety,saxagliptin,screening,secondary,secretion,sedentary,self,semaglutide,sensitivity,severe,short,sitagliptin,sleep,social,south,stage,state,steatohepatitis,stem,strategies,stress,stroke,study,style,subjects,sugar,supplementation,support,surgery,surveillance,survey,syndrome,t1d,t1dm,t2d,t2dm,tablets,technology,term,test,therapeutic,therapy,time,tolerability,tolerance,training,transplant,transplantation,treat,treated,treatment,trial,type,type1,type1diabetes,type2,ulcer,ulcers,undergoing,use,using,v8,vascular,versus,veterans,vildagliptin,vitamin,vs,weight,women,young,youth
35,0,1,0,0,0,0,1,4,8,2,0,1,1,1,1,0,0,0,0,0,0,0,0,5,9,0,0,0,0,4,2,2,0,0,0,0,0,5,0,0,1,1,0,4,2,0,0,1,1,2,0,2,5,0,0,0,0,0,1,1,2,3,0,0,1,15,3,1,2,5,3,5,0,1,1,1,3,9,5,0,0,2,1,0,0,0,1,2,0,0,0,179,6,2,0,0,0,1,1,0,0,8,0,0,0,0,0,1,2,0,24,8,0,0,6,0,0,0,9,5,5,13,1,1,1,3,0,3,1,4,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,3,0,1,0,8,0,6,1,1,0,0,1,4,1,0,0,2,0,0,0,1,2,0,1,5,0,5,1,1,2,1,0,0,1,0,0,0,1,0,1,1,32,0,1,0,6,1,0,0,0,5,1,0,0,1,1,0,1,1,3,0,0,9,0,0,0,2,0,3,0,0,0,3,9,4,4,107,0,0,1,1,15,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,4,0,2,0,0,0,0,0,0,2,0,1,0,11,1,1,0,0,1,4,2,38,0,0,2,0,0,0,0,1,1,0,1,4,1,0,0,0,1,2,0,4,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,1,0,2,0,2,1,0,0,17,1,0,0,1,0,2,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,27,0,13,2,0,1,0,5,6,0,0,0,1,1,9,0,7,0,1,6,0,1,1,0,0,0,0,5,6,4,135,1,1,3,0,0,0,16,1,0,1,7,0,11,0,1,0,0,0,0
41,0,0,0,1,0,2,5,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,8,3,2,1,8,0,0,0,0,3,1,1,2,1,2,2,0,0,1,0,2,0,10,4,4,0,0,1,0,1,0,5,1,0,2,0,1,0,1,0,1,0,0,2,3,1,0,4,1,12,0,0,0,0,0,0,1,0,1,1,0,0,107,22,2,1,1,0,3,0,1,0,20,7,1,2,0,0,0,0,0,3,0,2,0,1,0,1,4,10,1,5,5,0,0,2,1,1,1,2,0,3,0,0,0,4,3,1,2,0,0,2,0,0,0,0,15,3,2,0,0,0,3,0,0,6,0,2,2,1,0,6,6,4,0,3,0,2,2,2,2,1,1,7,4,2,3,0,1,2,2,0,3,2,0,2,0,2,0,0,10,0,1,0,8,0,0,6,1,0,2,0,1,0,0,0,4,2,0,1,0,0,0,1,0,0,1,5,1,0,2,1,1,0,0,39,0,0,10,3,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,3,2,0,1,2,0,0,2,0,0,5,0,0,1,0,0,1,4,5,0,0,0,1,19,0,1,0,0,3,5,5,0,0,2,1,0,0,0,2,0,1,0,0,4,2,0,2,1,0,0,1,0,20,3,0,4,1,0,1,2,3,2,1,0,1,4,1,1,0,2,0,1,1,3,0,2,2,2,2,1,2,15,1,1,2,1,0,5,2,0,5,0,2,1,0,0,0,0,0,0,0,0,1,0,0,6,12,0,2,0,1,4,0,0,1,11,0,0,1,1,1,0,0,0,0,3,1,0,0,3,1,2,0,2,8,8,59,0,1,3,5,5,1,1,4,0,4,1,2,0,3,0,3,2,0,1
2,1,0,1,1,0,2,2,0,0,0,1,3,0,5,0,0,1,0,0,0,1,2,0,0,0,0,0,1,2,5,2,0,3,2,3,2,0,0,2,0,0,0,1,5,0,0,0,1,1,0,2,23,5,0,0,0,3,1,2,1,4,2,0,0,1,2,0,1,0,0,1,1,0,1,1,0,9,1,5,1,2,1,1,1,0,0,3,1,0,0,0,181,15,2,2,0,0,0,0,0,0,16,4,1,0,0,3,2,0,1,0,0,0,1,1,0,0,1,15,1,9,2,0,1,1,2,0,3,6,0,1,1,0,1,4,5,0,1,1,2,1,2,1,0,1,0,3,0,0,0,0,4,0,1,7,1,0,0,0,1,1,2,4,0,6,0,0,0,0,2,1,0,4,4,3,1,1,1,2,1,2,1,2,2,0,2,0,0,1,18,2,0,3,7,0,1,7,0,0,8,0,1,0,6,1,0,0,1,2,1,0,0,0,0,0,0,2,1,1,1,0,0,0,2,70,0,0,4,1,2,1,0,0,0,2,1,2,2,1,0,0,0,0,0,2,2,0,1,5,2,0,0,0,0,3,0,0,2,4,3,2,5,0,0,2,1,0,29,1,0,3,1,0,0,2,1,1,2,1,1,1,0,0,1,1,1,0,1,2,0,0,0,2,0,1,0,4,1,0,4,1,0,0,0,0,0,0,0,2,0,1,0,0,2,1,0,1,0,1,5,0,4,1,0,2,16,1,1,1,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,15,0,2,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,4,4,0,1,1,0,0,0,1,2,5,7,114,1,2,4,0,0,0,1,2,0,0,2,0,0,1,1,0,1,4,0
9,1,0,1,0,0,0,7,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,8,1,1,2,1,0,1,0,0,0,0,0,0,1,10,0,0,0,1,0,1,2,9,3,3,1,0,0,0,0,0,11,0,0,0,1,0,2,1,3,4,1,0,1,3,1,0,3,2,11,1,0,2,2,0,4,0,0,0,0,0,0,83,37,3,1,0,0,0,1,1,0,28,1,0,1,0,1,3,0,2,0,1,1,1,1,0,4,0,12,2,10,4,1,1,4,2,0,2,0,1,2,0,2,2,2,10,0,0,0,1,0,0,1,2,0,5,6,4,0,0,1,0,0,0,6,0,1,1,0,0,3,4,7,5,7,0,3,0,1,0,3,1,5,0,4,0,1,0,0,0,0,2,2,1,2,4,1,0,0,9,0,2,0,2,0,1,2,1,1,9,0,0,0,2,1,0,1,1,6,0,2,3,2,1,2,5,1,1,0,1,2,0,3,0,45,0,0,6,1,5,0,0,0,0,0,0,0,1,2,1,0,0,1,2,3,8,2,1,4,3,0,1,1,5,8,1,0,1,0,0,0,1,0,1,1,3,2,27,0,0,6,1,1,0,2,0,1,0,2,6,1,3,1,1,0,0,0,4,0,0,0,0,7,2,0,0,4,1,1,1,0,0,1,0,0,0,1,0,0,6,1,1,1,2,0,3,0,0,0,5,0,1,2,0,3,9,1,1,5,0,1,0,0,1,0,1,0,0,0,4,0,0,0,2,0,3,1,0,5,2,24,0,7,3,0,1,1,0,0,9,0,0,1,3,2,0,2,1,0,3,1,0,2,4,1,1,4,2,11,7,56,0,0,2,5,1,0,0,0,0,4,5,0,0,8,1,7,0,0,0
32,1,1,1,0,1,0,0,0,5,0,0,0,1,7,1,2,1,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,4,1,3,1,0,1,0,1,0,0,0,1,1,2,2,7,8,2,1,3,3,0,0,0,2,2,0,0,3,1,0,3,1,0,1,1,0,3,1,2,5,1,4,1,1,0,0,0,0,1,0,0,0,1,1,142,10,3,0,1,0,2,2,0,3,8,1,0,0,0,0,3,0,0,1,0,1,1,1,0,4,5,10,4,4,5,0,2,1,2,2,3,0,1,3,1,0,0,0,0,1,0,3,2,0,1,1,1,0,0,4,0,0,1,0,1,2,1,11,0,4,0,1,2,8,1,1,0,1,0,1,1,1,2,5,1,1,3,2,2,2,0,6,0,3,0,1,0,0,2,0,1,0,17,0,0,0,8,2,2,0,0,0,0,0,0,1,3,1,5,2,0,3,0,1,1,1,0,1,4,13,0,1,1,1,6,1,1,56,0,0,9,2,6,0,4,2,0,1,0,0,0,1,0,0,0,2,0,1,3,1,0,1,3,0,0,0,2,15,0,1,2,0,1,1,3,4,0,0,2,2,23,0,0,1,0,0,0,1,0,0,0,4,2,0,1,1,0,0,0,1,2,1,0,3,1,0,0,0,0,0,1,0,4,0,0,2,0,1,0,0,0,2,3,1,0,1,1,1,0,0,2,3,1,1,6,3,0,1,2,1,1,4,1,1,0,1,0,8,1,1,0,0,1,1,1,0,0,0,1,1,2,2,0,13,0,1,0,0,3,7,1,0,7,0,0,2,3,0,0,1,0,1,5,2,0,0,1,0,1,2,3,5,9,87,0,0,6,0,0,0,2,1,0,6,2,0,0,2,2,5,2,0,1
17,2,0,0,0,0,0,3,0,0,0,2,2,4,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,3,1,2,0,0,3,0,0,1,1,0,1,1,2,1,1,1,0,1,0,6,3,4,7,2,2,0,1,0,4,3,8,2,1,0,2,1,0,0,0,1,1,1,1,4,1,2,5,4,4,2,3,0,0,2,1,0,1,0,2,2,0,151,22,2,5,6,1,3,0,0,0,16,4,2,3,2,1,1,0,0,0,0,0,1,7,0,0,3,5,3,4,1,1,1,2,1,1,3,0,0,2,1,0,0,3,3,0,2,0,1,0,2,1,0,0,4,6,0,1,2,1,13,0,0,13,1,2,0,1,1,4,1,4,0,2,0,0,1,0,0,0,0,11,0,2,3,2,1,2,2,0,2,1,0,1,1,0,0,0,11,1,0,0,2,0,3,0,0,0,9,0,0,2,1,0,1,0,1,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,1,62,0,0,4,2,2,1,0,1,0,2,0,3,0,1,0,0,1,0,2,7,2,5,4,1,0,0,0,0,3,7,1,0,0,8,1,1,1,3,4,0,2,2,15,1,0,2,2,3,2,2,0,2,1,0,0,1,0,1,1,1,0,1,2,4,1,6,1,1,6,0,0,3,3,0,1,0,1,0,0,3,1,0,0,2,3,1,0,0,1,0,1,1,0,0,5,1,1,1,4,5,5,1,0,1,1,3,0,0,0,1,0,0,1,0,2,8,0,0,6,1,0,2,0,1,0,17,0,3,0,2,0,0,0,0,9,0,2,0,1,1,1,1,1,1,1,0,0,2,0,1,2,0,0,8,8,89,0,1,1,0,0,1,1,5,0,2,1,0,0,2,1,1,3,1,2
26,0,0,0,0,0,5,0,0,2,1,0,0,0,5,0,0,1,0,2,1,2,0,0,0,0,2,0,1,0,0,0,3,0,0,0,1,1,0,6,1,0,1,0,2,2,0,0,1,1,6,0,14,8,2,0,0,3,0,0,2,6,2,1,3,2,2,0,5,0,0,1,1,0,1,1,0,6,1,0,0,0,0,0,0,0,0,1,0,1,1,0,129,3,0,1,0,0,2,0,2,1,10,8,3,0,0,1,1,1,0,0,0,1,1,2,1,0,6,11,2,6,1,0,0,0,0,0,1,0,0,7,0,0,1,6,0,1,2,0,1,2,0,1,0,0,0,3,1,4,0,0,8,0,0,8,0,3,2,0,0,15,3,2,2,1,1,4,1,0,0,0,1,4,0,4,1,2,1,2,0,2,1,0,1,0,0,0,0,0,3,0,0,1,14,0,2,0,0,0,1,0,3,2,0,5,21,1,0,1,2,0,5,1,0,0,0,8,2,0,1,1,0,0,1,44,3,1,9,3,4,0,1,1,2,1,0,0,0,1,0,1,0,1,0,0,0,1,1,5,0,0,8,0,3,28,0,1,0,1,0,0,2,11,1,0,1,1,13,0,3,1,0,0,0,0,0,0,2,7,1,0,0,0,0,1,1,0,5,10,3,3,0,0,0,2,0,10,2,0,12,1,1,1,2,0,0,0,0,3,2,1,1,1,0,0,3,0,2,0,1,0,2,0,0,0,15,0,0,0,0,1,0,0,2,7,1,0,0,1,1,5,0,0,1,3,0,0,2,2,0,18,1,0,3,2,2,3,0,0,5,1,0,0,0,0,1,0,0,1,1,2,0,2,4,0,0,0,0,4,2,74,0,1,5,0,0,0,1,2,0,0,0,0,0,3,0,8,4,0,1
18,1,0,0,0,0,0,0,0,3,0,0,2,2,6,1,0,0,0,2,0,0,2,0,1,0,0,1,0,0,4,1,0,2,0,0,0,0,0,2,0,0,2,0,3,0,0,0,1,1,0,0,4,4,4,0,0,1,0,5,1,3,0,0,0,3,1,0,0,0,0,0,1,0,4,1,1,7,2,3,2,0,0,2,1,2,2,2,0,1,0,1,170,10,1,0,6,1,5,0,0,1,10,6,3,0,1,0,0,0,1,1,0,0,0,3,2,0,2,6,2,3,3,0,1,0,1,0,4,1,0,3,0,0,0,1,1,0,0,0,2,1,0,0,1,1,0,1,0,1,1,3,21,0,1,15,2,3,0,0,1,2,1,4,1,1,0,0,0,0,0,0,1,1,0,1,4,3,0,2,0,1,1,1,1,1,0,1,1,0,6,0,0,0,2,1,1,2,1,0,2,1,0,0,1,3,0,2,0,4,0,2,1,1,0,0,0,2,0,0,1,0,0,0,0,65,0,0,8,5,1,0,0,0,0,4,2,1,0,0,1,0,0,0,0,0,4,6,0,5,0,0,1,1,2,1,1,0,0,5,1,0,2,1,0,0,5,0,17,0,0,0,3,0,2,4,0,1,0,1,0,0,0,1,3,0,1,0,0,2,0,5,2,1,2,0,0,5,0,0,4,0,2,1,0,1,0,1,0,3,0,1,1,1,0,1,1,1,1,0,0,2,1,2,2,5,8,0,0,4,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,19,0,0,0,1,1,1,3,0,6,0,1,0,2,0,0,2,1,1,5,0,0,2,0,1,2,2,0,2,5,90,3,1,4,0,0,0,3,2,0,3,2,1,0,0,2,2,5,3,2
4,0,1,3,1,1,2,1,0,2,0,0,3,3,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,4,4,2,0,0,0,0,0,0,0,0,1,1,1,0,3,0,2,0,1,0,3,1,6,1,1,0,3,1,2,6,0,2,4,1,1,0,0,0,0,0,0,1,0,1,6,1,3,5,1,6,0,0,0,1,0,0,0,3,0,0,0,0,181,12,0,0,0,1,2,2,1,1,13,3,1,0,0,1,1,1,0,1,0,4,1,2,0,2,0,14,0,15,2,1,1,2,3,1,4,1,3,3,0,1,0,1,3,0,0,1,6,0,0,0,0,1,3,6,0,0,0,3,4,1,0,9,1,3,0,0,0,1,0,3,0,0,1,0,0,0,2,0,1,2,5,3,3,2,1,2,0,0,1,2,0,0,0,1,1,0,21,0,1,1,2,0,0,0,0,2,3,0,0,2,3,0,0,3,1,8,0,2,1,0,0,1,2,1,1,0,1,0,1,1,0,66,0,0,4,2,6,0,0,0,0,2,0,1,2,1,0,0,0,0,2,2,0,2,0,4,3,1,1,1,1,1,0,0,0,5,0,0,1,0,3,0,2,0,29,0,0,3,0,0,0,3,0,2,1,0,1,0,0,1,0,0,0,0,4,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,1,0,0,2,0,1,1,0,0,1,0,0,0,1,0,3,0,7,2,0,2,6,1,0,1,0,1,0,0,0,2,0,2,0,0,3,0,0,0,0,0,1,1,0,2,1,17,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,1,0,0,0,1,3,7,2,123,1,0,2,1,1,0,0,1,0,6,1,0,2,4,2,0,0,0,1
16,1,0,2,1,1,0,1,0,1,0,1,1,0,3,1,0,1,0,1,0,1,0,0,1,1,0,0,0,2,0,0,2,3,0,3,0,0,0,1,0,1,0,1,9,0,1,1,1,1,4,0,4,1,2,1,0,0,0,4,2,5,3,0,0,1,2,0,1,0,0,1,1,1,1,1,1,1,3,4,1,6,0,0,0,1,1,1,2,1,4,2,158,15,2,3,4,3,1,1,1,0,21,5,2,1,1,1,1,0,0,1,0,3,0,2,0,0,1,4,1,4,2,0,0,2,5,0,5,0,0,1,1,0,1,0,2,0,2,0,5,1,6,0,0,0,0,2,0,0,0,0,16,0,2,17,0,0,0,1,0,2,0,3,0,1,0,4,1,0,0,1,2,5,5,4,0,3,1,1,0,1,1,0,0,0,1,0,2,1,14,0,3,0,3,1,0,0,0,0,7,1,1,2,3,0,2,1,1,6,0,2,3,1,2,0,0,2,1,0,1,1,0,0,0,65,0,0,9,5,2,0,0,0,0,5,0,0,1,0,0,2,0,2,1,0,0,2,2,8,4,1,0,0,1,9,1,0,1,1,3,0,1,3,0,0,0,0,14,1,0,2,2,2,0,2,1,0,0,1,0,2,0,2,2,1,0,0,5,4,1,7,0,0,1,0,1,2,1,0,2,1,2,0,0,1,0,1,0,0,3,1,1,0,0,0,0,1,4,1,2,0,5,0,0,3,8,2,0,7,0,3,0,0,0,3,1,1,0,1,0,0,1,0,1,1,2,0,0,0,1,20,0,5,2,2,0,0,0,1,8,0,2,0,0,0,0,3,1,0,1,0,1,3,0,0,0,0,2,7,7,76,1,1,7,0,0,0,2,1,0,5,1,0,0,2,1,3,5,0,0
