19,30,acid,action,active,activity,acute,add,adherence,administration,adolescent,adolescents,adult,adults,advanced,adverse,african,ajcc,alcoholic,american,americans,analysis,anatomic,anti,antidiabetic,apnea,application,approach,arterial,artery,assess,assessment,associated,atherosclerosis,autoimmune,balance,bariatric,basal,based,behavior,behavioral,beta,biomarkers,blood,body,bone,breast,brieftitle,bypass,cancer,cardiac,cardiovascular,care,cell,cells,change,changes,childhood,children,chinese,chronic,clinical,coaching,cognitive,cohort,combination,combined,community,comparative,compared,comparing,comparison,complication,complications,condition,continuous,control,controlled,coronary,covid,cystic,daily,dapagliflozin,decision,deficiency,delivery,dependent,depression,detection,development,device,diabetes,diabetic,diabetics,diagnosed,diagnosis,diagnostic,diet,dietary,different,digital,disease,diseases,disorder,disorders,distress,dm,dose,doses,dpp,drug,drugs,dysfunction,dyslipidemia,early,eating,edema,education,effect,effectiveness,effects,efficacy,elderly,empagliflozin,endothelial,evaluate,evaluating,evaluation,events,exenatide,exercise,extension,eye,factor,factors,failure,family,fasting,fat,fatty,feasibility,fibrosis,follow,following,food,foot,function,gain,gastric,gdm,genetic,gestational,glargine,glucagon,glucose,glycaemic,glycemic,group,gut,hba1c,health,healthy,heart,hepatitis,high,history,hiv,home,human,hypercholesterolemia,hyperglycemia,hyperlipidemia,hypertension,hypoglycemia,ii,impact,impaired,impairment,improve,improvement,improving,individuals,induced,infarction,infection,inflammation,inflammatory,influence,injury,insulin,integrated,intensive,internet,intervention,interventions,intolerance,ischemic,islet,japanese,kidney,latino,led,level,levels,life,lifestyle,lipid,liraglutide,liver,living,long,loss,low,lower,lowering,macular,management,markers,meal,mechanisms,medical,medication,medications,medicine,mellitus,men,mental,metabolic,metabolism,metformin,mild,mobile,model,modification,monitoring,monotherapy,mortality,multiple,muscle,myocardial,nafld,naive,nash,nephropathies,nephropathy,neuropathy,new,newly,non,nonalcoholic,novel,nutrition,nutritional,obese,obesity,observational,obstructive,older,onset,oral,outcome,outcomes,overweight,pancreatic,parameters,participants,patient,patients,pediatric,peer,people,performance,periodontal,periodontitis,peripheral,pharmacist,phase,physical,pilot,pioglitazone,placebo,plus,population,post,postpartum,postprandial,practice,pre,prediabetes,prediabetic,pregnancy,pregnant,pressure,prevalence,prevent,preventing,prevention,primary,prognostic,program,programme,progression,project,promote,prospective,prostate,protein,pulmonary,quality,randomized,rank,rate,real,reduce,reducing,reduction,regulation,related,remission,renal,research,resistance,response,retinal,retinopathy,risk,role,rosiglitazone,safety,saxagliptin,screening,secondary,secretion,sedentary,self,semaglutide,sensitivity,severe,short,sitagliptin,sleep,social,south,stage,state,steatohepatitis,stem,strategies,stress,stroke,study,style,subjects,sugar,supplementation,support,surgery,surveillance,survey,syndrome,t1d,t1dm,t2d,t2dm,tablets,technology,term,test,therapeutic,therapy,time,tolerability,tolerance,training,transplant,transplantation,treat,treated,treatment,trial,type,type1,type1diabetes,type2,ulcer,ulcers,undergoing,use,using,v8,vascular,versus,veterans,vildagliptin,vitamin,vs,weight,women,young,youth,LABEL
2,1,0,1,0,0,1,0,0,0,0,2,1,2,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,5,1,2,1,0,3,0,2,1,1,0,1,1,1,1,0,1,0,1,2,2,2,21,2,3,0,0,1,0,2,1,6,0,1,1,4,0,1,1,2,1,1,2,1,2,1,1,4,1,9,1,2,1,0,0,1,0,3,0,1,1,0,163,10,0,1,0,0,0,0,1,0,21,9,3,0,0,2,0,0,0,0,1,4,0,3,0,0,0,8,4,3,1,4,2,3,0,0,1,4,0,3,0,0,1,3,13,0,0,0,1,0,4,1,0,0,2,3,0,1,1,4,4,2,0,6,0,1,0,0,1,3,1,17,0,4,2,1,1,0,1,0,0,8,6,2,2,0,1,0,0,1,3,0,1,0,0,0,1,0,9,0,2,0,5,0,0,1,0,0,6,0,0,0,0,3,1,1,1,9,0,2,0,1,0,1,0,1,0,0,0,3,0,0,0,58,1,0,4,2,1,0,0,0,0,0,0,10,1,0,2,1,0,0,0,1,0,1,0,4,2,0,0,0,1,7,1,0,0,6,0,3,9,0,0,0,2,4,22,0,0,3,0,0,0,1,1,1,1,1,1,1,0,2,3,0,0,0,0,1,0,1,0,1,2,0,0,1,2,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,2,0,0,1,3,2,1,1,11,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,19,0,2,0,0,0,3,0,0,2,0,0,1,2,0,0,2,0,0,2,1,1,0,2,7,1,0,2,5,4,80,1,1,3,2,0,0,1,2,0,3,0,0,0,0,1,0,0,4,0,DiabetesCauses
1,0,0,0,0,3,7,2,1,2,0,0,0,0,1,3,1,0,4,1,0,1,0,1,0,0,0,0,1,11,1,2,1,2,0,0,1,0,1,1,0,0,0,3,1,0,0,1,2,1,4,14,7,1,2,0,0,0,0,0,16,3,0,0,1,1,0,0,0,0,0,0,0,4,1,1,7,0,12,1,0,0,0,0,1,0,0,0,2,0,0,61,36,2,0,0,0,2,1,1,0,41,10,0,1,0,2,6,1,1,4,0,3,0,0,0,2,0,10,1,4,5,1,0,0,2,0,3,1,0,3,1,0,3,1,5,0,0,1,4,1,1,1,1,0,8,2,0,1,0,0,2,0,2,1,0,6,1,2,0,0,2,9,5,3,1,0,1,1,0,1,0,5,14,1,3,0,1,0,0,0,1,1,4,0,3,1,1,1,13,1,1,0,2,0,0,1,0,0,21,0,0,1,0,1,1,0,0,8,0,1,1,5,0,0,2,3,0,2,2,2,0,0,0,29,0,0,7,2,2,1,0,1,1,0,1,1,3,2,5,2,0,0,1,3,0,1,0,5,1,2,1,0,4,8,0,1,0,0,3,1,5,2,0,1,0,2,22,0,0,4,1,0,0,2,0,1,2,1,1,0,0,0,3,0,2,0,4,2,0,2,0,2,2,0,0,1,2,0,2,0,1,1,0,1,0,2,3,3,1,1,1,1,0,0,0,0,1,0,4,0,7,3,1,3,6,1,0,6,0,0,0,0,0,3,1,2,3,0,0,1,1,0,2,0,2,2,0,2,1,14,0,5,2,2,0,5,1,0,10,0,0,0,0,0,0,1,0,0,6,1,3,0,0,2,1,3,1,5,2,24,0,1,2,2,6,2,0,3,0,2,4,0,0,1,1,2,0,0,0,DiabetesCauses
1,0,1,1,0,2,2,0,0,0,1,3,0,5,0,0,1,0,0,0,1,2,0,0,0,0,0,1,2,5,2,0,3,2,3,2,0,0,2,0,0,0,1,5,0,0,0,1,1,0,2,23,5,0,0,0,3,1,2,1,4,2,0,0,1,2,0,1,0,0,1,1,0,1,1,0,9,1,5,1,2,1,1,1,0,0,3,1,0,0,0,181,15,2,2,0,0,0,0,0,0,16,4,1,0,0,3,2,0,1,0,0,0,1,1,0,0,1,15,1,9,2,0,1,1,2,0,3,6,0,1,1,0,1,4,5,0,1,1,2,1,2,1,0,1,0,3,0,0,0,0,4,0,1,7,1,0,0,0,1,1,2,4,0,6,0,0,0,0,2,1,0,4,4,3,1,1,1,2,1,2,1,2,2,0,2,0,0,1,18,2,0,3,7,0,1,7,0,0,8,0,1,0,6,1,0,0,1,2,1,0,0,0,0,0,0,2,1,1,1,0,0,0,2,70,0,0,4,1,2,1,0,0,0,2,1,2,2,1,0,0,0,0,0,2,2,0,1,5,2,0,0,0,0,3,0,0,2,4,3,2,5,0,0,2,1,0,29,1,0,3,1,0,0,2,1,1,2,1,1,1,0,0,1,1,1,0,1,2,0,0,0,2,0,1,0,4,1,0,4,1,0,0,0,0,0,0,0,2,0,1,0,0,2,1,0,1,0,1,5,0,4,1,0,2,16,1,1,1,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,15,0,2,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,4,4,0,1,1,0,0,0,1,2,5,7,114,1,2,4,0,0,0,1,2,0,0,2,0,0,1,1,0,1,4,0,DiabetesCauses
0,0,1,0,0,4,1,0,0,1,0,2,0,5,0,1,1,0,1,0,2,0,0,0,0,0,0,1,2,6,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,2,4,1,7,3,2,1,1,2,0,4,1,3,3,0,2,6,0,2,2,0,1,0,1,0,7,1,0,3,0,6,0,2,0,1,0,1,0,0,2,0,3,0,189,10,0,4,1,0,2,0,1,0,13,9,1,0,1,0,2,0,0,1,0,4,0,4,0,0,1,12,2,3,4,0,0,4,0,0,3,1,0,1,0,0,2,0,0,0,0,0,1,0,2,0,1,0,0,8,0,3,0,1,3,0,0,7,0,1,0,1,0,5,2,6,0,3,1,0,1,0,0,3,0,3,3,5,3,2,1,1,1,1,2,0,0,3,2,0,0,1,4,0,0,0,4,0,1,0,1,0,3,0,0,1,1,1,3,0,0,4,2,1,2,1,1,0,0,1,1,1,2,1,0,0,1,68,0,0,4,1,4,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,1,4,4,4,0,1,2,1,2,4,0,1,2,3,0,2,1,2,0,0,0,5,25,0,0,3,0,2,0,2,0,0,2,1,0,0,0,0,2,0,2,1,1,0,1,6,1,0,1,2,0,2,1,0,2,0,0,0,0,3,0,3,1,1,1,1,1,0,0,1,1,1,1,3,3,0,0,3,0,2,8,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,16,0,1,0,0,0,4,0,0,2,0,1,0,1,0,0,1,0,0,5,0,0,1,1,1,3,1,2,4,4,107,2,0,5,0,0,0,0,1,0,7,1,0,1,0,1,0,1,0,2,DiabetesCauses
0,1,3,1,1,2,1,0,2,0,0,3,3,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,4,4,2,0,0,0,0,0,0,0,0,1,1,1,0,3,0,2,0,1,0,3,1,6,1,1,0,3,1,2,6,0,2,4,1,1,0,0,0,0,0,0,1,0,1,6,1,3,5,1,6,0,0,0,1,0,0,0,3,0,0,0,0,181,12,0,0,0,1,2,2,1,1,13,3,1,0,0,1,1,1,0,1,0,4,1,2,0,2,0,14,0,15,2,1,1,2,3,1,4,1,3,3,0,1,0,1,3,0,0,1,6,0,0,0,0,1,3,6,0,0,0,3,4,1,0,9,1,3,0,0,0,1,0,3,0,0,1,0,0,0,2,0,1,2,5,3,3,2,1,2,0,0,1,2,0,0,0,1,1,0,21,0,1,1,2,0,0,0,0,2,3,0,0,2,3,0,0,3,1,8,0,2,1,0,0,1,2,1,1,0,1,0,1,1,0,66,0,0,4,2,6,0,0,0,0,2,0,1,2,1,0,0,0,0,2,2,0,2,0,4,3,1,1,1,1,1,0,0,0,5,0,0,1,0,3,0,2,0,29,0,0,3,0,0,0,3,0,2,1,0,1,0,0,1,0,0,0,0,4,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,1,0,0,2,0,1,1,0,0,1,0,0,0,1,0,3,0,7,2,0,2,6,1,0,1,0,1,0,0,0,2,0,2,0,0,3,0,0,0,0,0,1,1,0,2,1,17,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,1,0,0,0,1,3,7,2,123,1,0,2,1,1,0,0,1,0,6,1,0,2,4,2,0,0,0,1,DiabetesCauses
3,0,0,2,0,0,0,0,0,1,0,1,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,2,5,1,1,1,0,2,0,0,1,0,4,1,4,0,1,0,0,1,12,6,2,0,0,1,1,1,0,3,1,0,0,3,0,0,1,0,2,1,1,0,4,1,0,4,2,1,3,0,0,1,0,0,1,5,0,0,1,1,153,20,1,3,2,0,3,1,0,0,10,7,3,1,0,0,2,1,0,1,0,3,0,1,0,2,1,8,0,11,2,0,3,4,1,1,4,0,0,1,0,0,2,2,0,0,0,4,4,2,2,3,1,0,6,4,0,0,0,1,5,1,1,6,0,2,0,0,1,5,5,1,2,0,1,0,0,0,0,0,1,4,1,3,2,1,0,2,0,1,0,1,0,0,1,2,1,0,18,1,0,2,3,0,0,0,0,0,6,0,0,1,0,2,1,0,1,5,0,1,1,2,0,0,2,1,1,1,0,1,1,0,0,67,1,0,5,1,2,0,1,0,0,3,0,1,0,2,1,0,0,0,1,6,6,0,2,8,1,0,0,0,0,9,0,0,0,0,1,1,2,4,0,2,4,1,24,0,0,0,1,2,2,0,0,0,0,0,2,1,0,0,0,0,1,0,2,2,0,2,0,2,0,2,0,2,1,0,1,1,0,0,0,0,0,1,1,3,2,1,1,0,1,0,0,0,0,0,5,1,7,3,1,2,7,1,2,3,1,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,1,1,2,0,17,1,6,1,0,0,2,0,0,2,1,1,1,3,0,1,1,0,0,2,0,0,0,0,0,2,0,1,7,8,95,0,0,0,2,1,1,2,2,0,4,0,0,1,2,1,1,0,0,1,DiabetesCauses
2,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,1,0,0,1,2,0,1,0,0,0,0,5,1,2,0,1,0,0,1,10,5,0,1,0,2,0,1,3,9,3,0,1,0,0,1,1,0,1,0,0,1,1,1,1,2,0,1,2,2,2,1,0,0,1,2,0,1,0,0,135,28,2,1,0,1,3,0,0,0,14,5,0,2,2,0,6,1,0,0,0,2,0,1,0,2,1,6,1,11,1,1,1,2,0,1,6,1,0,3,1,1,0,1,4,0,2,1,4,1,2,0,1,0,3,2,0,0,0,1,4,0,1,10,1,1,1,0,0,2,9,3,0,1,0,0,0,0,0,0,0,0,5,1,1,4,1,0,0,1,0,1,0,2,1,0,1,0,9,0,1,0,3,0,0,0,1,3,7,0,0,1,1,1,2,1,1,4,2,0,0,4,5,0,1,1,0,0,1,0,0,0,0,73,1,0,3,6,2,1,0,0,1,2,0,0,1,1,0,2,0,1,1,3,4,2,0,1,1,0,0,1,2,6,0,0,0,2,6,0,1,1,0,1,18,0,23,1,0,4,0,0,0,6,0,2,2,3,0,1,2,0,0,0,1,1,2,5,1,0,0,0,1,1,0,1,2,0,2,2,1,0,0,1,0,0,0,3,0,1,0,0,0,0,2,0,1,0,0,0,2,1,2,7,3,0,1,4,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,33,0,3,3,0,0,2,0,0,3,1,1,0,2,0,0,0,0,1,2,0,2,2,0,1,1,0,2,3,3,101,0,1,0,1,2,1,0,0,0,2,1,0,0,0,1,1,0,0,0,DiabetesCauses
0,0,0,0,0,1,2,0,1,0,0,0,1,1,0,2,0,0,1,1,0,2,0,0,0,0,0,0,1,3,1,0,1,0,0,1,5,0,0,1,0,0,1,6,1,0,1,1,1,2,1,10,1,3,0,0,0,0,1,1,4,1,0,2,3,0,0,0,1,1,0,1,3,0,1,0,1,0,3,0,0,0,2,0,1,0,3,0,0,2,1,119,32,1,0,0,0,2,1,0,0,22,5,1,0,0,0,2,0,0,1,1,0,0,1,0,7,2,7,1,10,4,1,2,0,1,0,3,1,1,4,0,3,0,1,3,0,5,1,2,0,0,0,1,1,0,3,0,3,1,2,3,0,0,8,0,0,0,0,1,2,3,5,1,3,0,0,0,1,0,1,2,5,0,2,2,0,1,1,0,0,1,4,1,0,1,1,2,0,19,0,0,0,3,1,0,0,2,1,5,0,0,2,1,0,2,0,0,4,3,1,0,1,1,1,7,2,1,0,2,2,1,0,0,65,0,1,9,3,3,0,0,0,0,0,0,1,2,0,1,0,0,1,2,8,0,0,0,6,1,0,0,0,1,9,0,0,0,0,0,0,4,0,0,0,5,1,23,0,0,3,0,2,7,0,0,0,0,3,0,0,0,2,3,0,0,0,1,1,0,3,1,4,1,1,0,3,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,2,1,0,2,0,7,0,1,10,4,2,0,3,2,0,0,3,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,17,0,0,0,1,0,8,2,0,7,1,0,0,3,1,2,1,0,0,5,0,0,0,1,2,2,0,2,5,2,66,0,0,5,0,0,2,4,0,0,2,3,0,0,3,0,3,2,0,0,DiabetesCauses
1,0,1,0,0,1,3,0,1,2,1,1,1,1,0,0,1,0,1,1,0,1,0,2,1,2,0,0,2,5,3,0,3,1,0,0,0,0,2,2,1,2,1,7,5,4,3,1,2,4,2,11,2,9,0,2,0,0,1,1,11,3,0,2,4,1,1,0,0,0,0,3,0,2,1,1,7,0,7,1,4,0,1,0,1,0,1,0,0,0,1,95,43,2,0,1,0,2,0,0,0,32,3,0,0,0,0,1,0,1,0,0,3,0,1,0,4,1,12,0,6,4,1,1,1,3,0,2,1,2,7,0,0,0,1,9,1,0,1,5,1,4,0,1,1,8,7,2,0,0,0,0,1,0,11,1,4,0,1,0,3,1,12,0,5,0,2,0,1,0,1,1,4,3,2,3,0,1,0,2,2,0,2,4,2,1,1,1,0,10,0,0,0,5,0,0,0,2,0,11,0,1,0,1,1,3,0,1,4,0,3,1,2,1,2,4,1,1,0,2,0,0,0,1,52,0,0,9,5,1,0,1,0,0,1,0,0,0,4,5,1,0,0,1,5,4,4,0,3,0,0,0,0,1,11,0,2,0,1,1,0,3,1,0,2,0,1,22,1,0,1,1,1,1,9,1,0,1,0,1,0,0,1,1,0,0,0,2,1,1,0,0,5,0,1,0,0,0,0,2,0,0,0,1,2,0,1,2,1,0,1,0,0,1,0,2,1,3,0,5,0,6,0,0,3,9,1,1,4,0,1,0,1,0,1,1,4,0,0,0,2,2,1,0,1,0,0,0,1,0,19,0,5,1,1,0,0,0,0,8,1,2,0,1,0,1,3,2,2,6,1,0,1,4,0,2,0,0,8,5,56,0,0,2,1,2,3,0,3,0,4,1,0,0,2,0,9,0,1,0,DiabetesCauses
1,0,1,0,0,0,7,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,8,1,1,2,1,0,1,0,0,0,0,0,0,1,10,0,0,0,1,0,1,2,9,3,3,1,0,0,0,0,0,11,0,0,0,1,0,2,1,3,4,1,0,1,3,1,0,3,2,11,1,0,2,2,0,4,0,0,0,0,0,0,83,37,3,1,0,0,0,1,1,0,28,1,0,1,0,1,3,0,2,0,1,1,1,1,0,4,0,12,2,10,4,1,1,4,2,0,2,0,1,2,0,2,2,2,10,0,0,0,1,0,0,1,2,0,5,6,4,0,0,1,0,0,0,6,0,1,1,0,0,3,4,7,5,7,0,3,0,1,0,3,1,5,0,4,0,1,0,0,0,0,2,2,1,2,4,1,0,0,9,0,2,0,2,0,1,2,1,1,9,0,0,0,2,1,0,1,1,6,0,2,3,2,1,2,5,1,1,0,1,2,0,3,0,45,0,0,6,1,5,0,0,0,0,0,0,0,1,2,1,0,0,1,2,3,8,2,1,4,3,0,1,1,5,8,1,0,1,0,0,0,1,0,1,1,3,2,27,0,0,6,1,1,0,2,0,1,0,2,6,1,3,1,1,0,0,0,4,0,0,0,0,7,2,0,0,4,1,1,1,0,0,1,0,0,0,1,0,0,6,1,1,1,2,0,3,0,0,0,5,0,1,2,0,3,9,1,1,5,0,1,0,0,1,0,1,0,0,0,4,0,0,0,2,0,3,1,0,5,2,24,0,7,3,0,1,1,0,0,9,0,0,1,3,2,0,2,1,0,3,1,0,2,4,1,1,4,2,11,7,56,0,0,2,5,1,0,0,0,0,4,5,0,0,8,1,7,0,0,0,DiabetesCauses
