ABNB,BKNG,EXPE,Date
139.25,2104.870117,130.470001,12/11/20
130,2089.209961,123.019997,12/14/20
124.800003,2066.01001,123.330002,12/15/20
137.990005,2098.050049,126,12/16/20
147.050003,2098.709961,124.980003,12/17/20
157.300003,2113.429932,124.480003,12/18/20
163.020004,2099.649902,125.540001,12/21/20
163.190002,2068.199951,123.360001,12/22/20
158.009995,2052.820068,123.150002,12/23/20
154.839996,2100.850098,126.489998,12/24/20
149,2088.350098,126.959999,12/28/20
150,2137.919922,128.479996,12/29/20
148.429993,2185.399902,131.300003,12/30/20
146.800003,2205.26001,132.119995,12/31/20
139.149994,2227.27002,132.399994,1/4/21
148.300003,2164.080078,131.369995,1/5/21
142.770004,2188.070068,137.139999,1/6/21
151.270004,2249.810059,143.419998,1/7/21
149.770004,2239.850098,142.289993,1/8/21
148.130005,2281.540039,144.020004,1/11/21
160.800003,2221.27002,142.960007,1/12/21
169.990005,2196.340088,140.949997,1/13/21
180.5,2182.419922,140.610001,1/14/21
169.270004,2182.590088,144.169998,1/15/21
173.690002,2119.22998,140.690002,1/19/21
161.830002,2163.040039,142.820007,1/20/21
180.399994,2160.050049,141.75,1/21/21
181.869995,2109.939941,138.880005,1/22/21
177.529999,2066.23999,136.520004,1/25/21
192.740005,2018.430054,135.990005,1/26/21
201.25,1983.160034,131.5,1/27/21
187.369995,1886.089966,123.209999,1/28/21
183.630005,2034.099976,126.739998,1/29/21
180.440002,1944.329956,124.099998,2/1/21
179.169998,1990.459961,127.300003,2/2/21
185.720001,2065.530029,136.130005,2/3/21
195.800003,2027.300049,138.479996,2/4/21
195.309998,2082.939941,141.910004,2/5/21
200.429993,2096.419922,141.399994,2/8/21
199.880005,2099.560059,145.419998,2/9/21
211.660004,2085.280029,144.479996,2/10/21
216.839996,2141.76001,148.899994,2/11/21
212.679993,2159.26001,149.910004,2/12/21
209.860001,2150.580078,146.509995,2/16/21
201.960007,2184.159912,147.839996,2/17/21
198.039993,2233.77002,154.039993,2/18/21
201.070007,2259.790039,156.729996,2/19/21
195.339996,2293.050049,158.919998,2/22/21
187.589996,2350.02002,160.610001,2/23/21
200.199997,2359.370117,159.690002,2/24/21
182.059998,2443.5,162.779999,2/25/21
206.350006,2273.199951,157.179993,2/26/21
196.419998,2328.51001,161,3/1/21
189.899994,2320.5,161.240005,3/2/21
180.399994,2282.209961,160.270004,3/3/21
180.229996,2275,163.429993,3/4/21
179.809998,2219.350098,158.410004,3/5/21
180.809998,2307.100098,166.449997,3/8/21
183.110001,2368.73999,167.899994,3/9/21
183.789993,2366.790039,165.770004,3/10/21
197.869995,2369.320068,167.580002,3/11/21
206.740005,2362.060059,171.080002,3/12/21
209.990005,2401.040039,174.589996,3/15/21
200.009995,2439.5,177.100006,3/16/21
201.360001,2396.560059,176.380005,3/17/21
191.449997,2461.780029,185.270004,3/18/21
194.389999,2346.949951,180.800003,3/19/21
195,2287.73999,179.979996,3/22/21
187.139999,2231.889893,173.089996,3/23/21
178.850006,2215,168.419998,3/24/21
176.160004,2202.72998,166.139999,3/25/21
174.399994,2268.909912,174.660004,3/26/21
182.5,2323.530029,176.449997,3/29/21
183.100006,2351.360107,176.130005,3/30/21
187.940002,2334.889893,175.869995,3/31/21
188.240005,2329.840088,172.119995,4/1/21
186.690002,2382.459961,175.929993,4/5/21
190.029999,2409.179932,176.020004,4/6/21
179.940002,2422,174.699997,4/7/21
180.179993,2410.639893,172.039993,4/8/21
179.5,2427.98999,174.570007,4/9/21
176.490005,2450.060059,174.979996,4/12/21
177.949997,2409.050049,171.710007,4/13/21
176.429993,2404.290039,170.929993,4/14/21
175.350006,2454.219971,171.720001,4/15/21
178.690002,2433.209961,170.550003,4/16/21
174.580002,2476.899902,173.910004,4/19/21
169.570007,2456.199951,175.619995,4/20/21
167.070007,2345,170.460007,4/21/21
170.710007,2357.72998,176.259995,4/22/21
174.25,2347.050049,175.649994,4/23/21
174.880005,2395.429932,177.559998,4/26/21
177.940002,2458.25,176.679993,4/27/21
180,2464.149902,177.080002,4/28/21
177.679993,2505.100098,177.600006,4/29/21
172.710007,2501.429932,177.869995,4/30/21
168.110001,2466.080078,176.229996,5/3/21
168.899994,2440.439941,174.820007,5/4/21
162.330002,2382.939941,173.449997,5/5/21
153.639999,2337.919922,170.919998,5/6/21
151.210007,2279.350098,164.820007,5/7/21
146.729996,2327.080078,173.460007,5/10/21
142.729996,2263.100098,173.089996,5/11/21
140.25,2247.679932,172.399994,5/12/21
135.75,2172.25,161.990005,5/13/21
141.199997,2207.27002,167.720001,5/14/21
132.5,2282.47998,171.800003,5/17/21
135.020004,2223.149902,169.449997,5/18/21
138.190002,2211.620117,168.100006,5/19/21
136.199997,2270.01001,167.070007,5/20/21
134.710007,2306.050049,169.139999,5/21/21
135.910004,2293.379883,168.059998,5/24/21
133.990005,2348.47998,171.100006,5/25/21
134.75,2339.01001,173.059998,5/26/21
